,ANIO,MES,DIA,TMAX
3551,1965,12,25,28.3
3552,1965,12,26,33.5
3553,1965,12,27,33.0
3554,1965,12,28,30.6
3555,1965,12,29,31.5
3556,1965,12,30,33.6
3557,1965,12,31,34.9
3892,1966,12,1,29.3
3893,1966,12,2,29.1
3894,1966,12,3,28.1
3895,1966,12,4,25.0
3896,1966,12,5,23.8
3897,1966,12,6,33.7
3898,1966,12,7,31.0
3899,1966,12,8,37.2
3900,1966,12,9,28.2
3901,1966,12,10,30.0
3902,1966,12,11,27.4
3903,1966,12,12,24.1
3904,1966,12,13,28.8
3905,1966,12,14,24.4
3906,1966,12,15,28.5
3907,1966,12,16,31.2
3908,1966,12,17,30.0
3909,1966,12,18,33.6
3910,1966,12,19,28.5
3911,1966,12,20,24.2
3912,1966,12,21,22.7
3913,1966,12,22,19.5
3914,1966,12,23,20.8
3915,1966,12,24,23.0
3916,1966,12,25,27.5
3917,1966,12,26,30.8
3918,1966,12,27,31.7
3919,1966,12,28,33.9
3920,1966,12,29,31.0
3921,1966,12,30,28.6
3922,1966,12,31,28.1
4257,1967,12,1,28.0
4258,1967,12,2,24.0
4259,1967,12,3,27.3
4260,1967,12,4,30.3
4261,1967,12,5,32.8
4262,1967,12,6,37.1
4263,1967,12,7,31.5
4264,1967,12,8,28.8
4265,1967,12,9,28.5
4266,1967,12,10,30.0
4267,1967,12,11,30.5
4268,1967,12,12,35.4
4269,1967,12,13,34.8
4270,1967,12,14,34.0
4271,1967,12,15,34.5
4272,1967,12,16,36.5
4273,1967,12,17,38.0
4274,1967,12,18,32.1
4275,1967,12,19,34.4
4276,1967,12,20,28.5
4277,1967,12,21,31.8
4278,1967,12,22,33.6
4279,1967,12,23,36.2
4280,1967,12,24,37.1
4281,1967,12,25,39.0
4282,1967,12,26,39.5
4283,1967,12,27,38.0
4284,1967,12,28,35.5
4285,1967,12,29,31.2
4286,1967,12,30,39.4
4287,1967,12,31,31.7
4623,1968,12,1,28.7
4624,1968,12,2,31.6
4625,1968,12,3,35.5
4626,1968,12,4,30.8
4627,1968,12,5,28.5
4628,1968,12,6,28.0
4629,1968,12,7,29.8
4630,1968,12,8,31.2
4631,1968,12,9,34.2
4632,1968,12,10,31.8
4633,1968,12,11,41.4
4634,1968,12,12,34.7
4635,1968,12,13,24.6
4636,1968,12,14,35.8
4637,1968,12,15,30.2
4638,1968,12,16,29.0
4639,1968,12,17,31.2
4640,1968,12,18,36.8
4641,1968,12,19,28.0
4642,1968,12,20,26.8
4643,1968,12,21,23.5
4644,1968,12,22,26.5
4645,1968,12,23,25.2
4646,1968,12,24,24.5
4647,1968,12,25,27.0
4648,1968,12,26,27.9
4649,1968,12,27,26.5
4650,1968,12,28,28.3
4651,1968,12,29,29.5
4652,1968,12,30,25.1
4653,1968,12,31,22.1
4988,1969,12,1,34.5
4989,1969,12,2,37.2
4990,1969,12,3,37.6
4991,1969,12,4,37.0
4992,1969,12,5,32.1
4993,1969,12,6,28.4
4994,1969,12,7,30.9
4995,1969,12,8,28.3
4996,1969,12,9,29.4
4997,1969,12,10,26.8
4998,1969,12,11,31.0
4999,1969,12,12,27.5
5000,1969,12,13,34.0
5001,1969,12,14,35.2
5002,1969,12,15,34.6
5003,1969,12,16,36.5
5004,1969,12,17,38.0
5005,1969,12,18,32.0
5006,1969,12,19,26.2
5007,1969,12,20,29.0
5008,1969,12,21,30.2
5009,1969,12,22,29.4
5010,1969,12,23,29.8
5011,1969,12,24,30.7
5012,1969,12,25,33.6
5013,1969,12,26,33.9
5014,1969,12,27,32.0
5015,1969,12,28,27.5
5016,1969,12,29,31.5
5017,1969,12,30,33.0
5018,1969,12,31,32.9
5353,1970,12,1,26.5
5354,1970,12,2,28.9
5355,1970,12,3,31.9
5356,1970,12,4,32.3
5357,1970,12,5,28.5
5358,1970,12,6,31.6
5359,1970,12,7,37.6
5360,1970,12,8,32.7
5361,1970,12,9,35.2
5362,1970,12,10,31.2
5363,1970,12,11,29.7
5364,1970,12,12,27.2
5365,1970,12,13,35.4
5366,1970,12,14,30.4
5367,1970,12,15,26.3
5368,1970,12,16,32.0
5369,1970,12,17,31.8
5370,1970,12,18,32.7
5371,1970,12,19,31.3
5372,1970,12,20,30.3
5373,1970,12,21,33.2
5374,1970,12,22,34.9
5375,1970,12,23,37.6
5376,1970,12,24,38.3
5377,1970,12,25,39.8
5378,1970,12,26,37.3
